time,temperature
2019-03-12 22:15:00,67.87
2019-03-12 22:30:00,67.53
2019-03-12 22:45:00,67.23
2019-03-12 23:00:00,66.97
2019-03-12 23:15:00,66.64
2019-03-12 23:30:00,66.25
2019-03-12 23:45:00,65.89
2019-03-13 00:00:00,65.61
2019-03-13 00:15:00,65.25
2019-03-13 00:30:00,64.92
2019-03-13 00:45:00,64.61
2019-03-13 01:00:00,64.31
2019-03-13 01:15:00,64.01
2019-03-13 01:30:00,63.73
2019-03-13 01:45:00,64.07
2019-03-13 02:00:00,63.86
2019-03-13 02:15:00,64.17
2019-03-13 02:30:00,63.82
2019-03-13 02:45:00,64.01
2019-03-13 03:00:00,63.95
2019-03-13 03:15:00,63.73
2019-03-13 03:30:00,63.82
2019-03-13 03:45:00,63.91
2019-03-13 04:00:00,63.68
2019-03-13 04:15:00,63.55
2019-03-13 04:30:00,63.68
